Cód,Materia,Primer llamado,Hora
18.01,Introducción a la Biotecnología,"jueves, 4 de febrero de 2027",16:00
18.02,Fisiología y Genética de Microorganismos,"viernes, 12 de febrero de 2027",19:00
19.01,Fundamentos del comportamiento humano,"miércoles, 10 de febrero de 2027",16:00
19.02,Filosofía de la mente,"viernes, 12 de febrero de 2027",13:00
21.06,Electrotecnia,"jueves, 11 de febrero de 2027",9:00
21.08,Electrotecnia,"jueves, 11 de febrero de 2027",16:00
21.09,Máquinas Eléctricas,"jueves, 11 de febrero de 2027",19:00
21.10,Instalaciones Eléctricas,"miércoles, 10 de febrero de 2027",13:00
21.30,Principios y Aplicaciones Eléctricas,"miércoles, 10 de febrero de 2027",16:00
21.44,Instalaciones Eléctricas,"miércoles, 10 de febrero de 2027",13:00
22.10,Electrónica e Instrumentación,"miércoles, 10 de febrero de 2027",19:00
22.12,Electrónica II,"jueves, 18 de febrero de 2027",19:00
22.14,Electrónica IV,"viernes, 19 de febrero de 2027",14:00
22.15,Electrónica V,"martes, 23 de febrero de 2027",13:00
22.21,Electromagnetismo,"jueves, 11 de febrero de 2027",16:00
22.22,Antenas y Radioprogramación,"martes, 23 de febrero de 2027",18:00
22.28,Electrónica de Potencia,"viernes, 19 de febrero de 2027",14:00
22.29,Microondas,"viernes, 19 de febrero de 2027",18:00
22.31,Diseño de Equipos Electrónicos (Anual),"miércoles, 17 de febrero de 2027",
22.37,Electromagnetismo,"lunes, 22 de febrero de 2027",16:00
22.46,Procesamiento Adaptativo de Señales,"jueves, 11 de febrero de 2027",10:00
22.47,Procesamiento de Voz,"miércoles, 17 de febrero de 2027",15:00
22.48,Procesamiento de imágenes,"miércoles, 17 de febrero de 2027",17:00
22.56,Sensores y Actuadores,"martes, 23 de febrero de 2027",15:00
22.57,Microprocesadores y Control,"martes, 23 de febrero de 2027",12:00
22.61,Transmisión de la Información,"martes, 23 de febrero de 2027",18:00
22.64,Comunicaciones Digitales,"viernes, 19 de febrero de 2027",15:00
22.66,Redes Digitales,"martes, 16 de febrero de 2027",15:00
22.67,Señales Aleatorias,"jueves, 18 de febrero de 2027",15:00
22.88,Sensores y Actuadores,"martes, 23 de febrero de 2027",18:00
22.90,Automación Industrial,"viernes, 19 de febrero de 2027",19:00
22.93,Control Automático,"lunes, 22 de febrero de 2027",17:00
22.94,Control Discreto,"lunes, 22 de febrero de 2027",19:00
23.02,Electrónica Analógica y Digital,"lunes, 15 de febrero de 2027",8:00
23.03,Sistemas de Control,"jueves, 18 de febrero de 2027",9:00
23.07,Electrónica Industrial,"viernes, 12 de febrero de 2027",18:00
23.08,Control Avanzado,"jueves, 11 de febrero de 2027",16:00
23.15,Realidad Virtual,"viernes, 19 de febrero de 2027",15:00
23.16,Sistemas de Control,"jueves, 18 de febrero de 2027",9:00
23.17,Electrónica e Instrumentación,"miércoles, 10 de febrero de 2027",19:00
23.18,Electrónica e Instrumentación,"lunes, 22 de febrero de 2027",16:00
25.01,Fundamentos de Electrónica,"jueves, 11 de febrero de 2027",8:00
25.02,Programación I,"martes, 23 de febrero de 2027",8:00
25.03,Algoritmos y Estructuras de Datos,"viernes, 5 de febrero de 2027",18:00
25.04,Computación Cuántica,"jueves, 11 de febrero de 2027",15:00
25.10,Teoría de Circuitos 1,"viernes, 12 de febrero de 2027",9:00
25.12,Tecnología de Materiales Electrónicos,"viernes, 19 de febrero de 2027",14:00
25.13,Laboratorio de Electrónica 1,"viernes, 19 de febrero de 2027",14:00
25.14,Teoría de Circuitos 2,"jueves, 18 de febrero de 2027",16:00
25.15,Electrónica I,"viernes, 12 de febrero de 2027",15:00
25.16,Laboratorio de Electrónica 2,"jueves, 18 de febrero de 2027",19:00
25.17,Electrónica II,"lunes, 15 de febrero de 2027",18:00
25.18,Física Electrónica,"lunes, 15 de febrero de 2027",19:00
25.20,Análisis de Señales y Sistemas Digitales,"miércoles, 17 de febrero de 2027",14:00
25.21,Electrónica III,"jueves, 18 de febrero de 2027",19:00
25.22,Electromagnetismo,"jueves, 11 de febrero de 2027",16:00
25.23,Sistemas de control,"lunes, 15 de febrero de 2027",18:00
