Cód,Materia,Primer llamado,Hora,Segundo llamado,Hora
22.12,Electrónica II,"miércoles, 9 de diciembre de 2026",19:00,"martes, 15 de diciembre de 2026",19:00
22.14,Electrónica IV,"viernes, 11 de diciembre de 2026",15:00,"viernes, 18 de diciembre de 2026",15:00
22.15,Electrónica V,"jueves, 10 de diciembre de 2026",15:00,"jueves, 17 de diciembre de 2026",15:00
22.21,Electromagnetismo,"jueves, 3 de diciembre de 2026",16:00,"jueves, 17 de diciembre de 2026",16:00
22.22,Antenas y Radioprogramación,"miércoles, 16 de diciembre de 2026",16:00,"miércoles, 23 de diciembre de 2026",16:00
22.28,Electrónica de Potencia,"viernes, 11 de diciembre de 2026",15:00,"viernes, 18 de diciembre de 2026",15:00
22.29,Microondas,"viernes, 11 de diciembre de 2026",18:00,"viernes, 18 de diciembre de 2026",18:00
22.31,Diseño de Equipos Electrónicos (Anual),"miércoles, 16 de diciembre de 2026",19:00,"miércoles, 23 de diciembre de 2026",19:00
22.37,Electromagnetismo,"lunes, 14 de diciembre de 2026",16:00,"lunes, 21 de diciembre de 2026",16:00
22.46,Procesamiento Adaptativo de Señales,"martes, 15 de diciembre de 2026",10:00,"martes, 22 de diciembre de 2026",10:00
22.47,Procesamiento de Voz,"miércoles, 16 de diciembre de 2026",15:00,"miércoles, 23 de diciembre de 2026",15:00
22.48,Procesamiento de imágenes,"miércoles, 9 de diciembre de 2026",17:00,"miércoles, 23 de diciembre de 2026",17:00
22.56,Sensores y Actuadores,"martes, 15 de diciembre de 2026",15:00,"martes, 22 de diciembre de 2026",15:00
22.57,Microprocesadores y Control,"martes, 15 de diciembre de 2026",12:00,"martes, 22 de diciembre de 2026",12:00
22.61,Transmisión de la Información,"martes, 15 de diciembre de 2026",19:00,"martes, 22 de diciembre de 2026",19:00
22.64,Comunicaciones Digitales,"jueves, 10 de diciembre de 2026",15:00,"jueves, 17 de diciembre de 2026",15:00
22.66,Redes Digitales,"martes, 15 de diciembre de 2026",16:00,"martes, 22 de diciembre de 2026",16:00
22.67,Señales Aleatorias,"jueves, 10 de diciembre de 2026",15:00,"jueves, 17 de diciembre de 2026",15:00
22.88,Sensores y Actuadores,"martes, 15 de diciembre de 2026",18:00,"martes, 22 de diciembre de 2026",18:00
22.90,Automación Industrial,"viernes, 11 de diciembre de 2026",19:00,"viernes, 18 de diciembre de 2026",19:00
22.93,Control Automático,"lunes, 14 de diciembre de 2026",17:00,"lunes, 21 de diciembre de 2026",17:00
22.94,Control Discreto,"lunes, 14 de diciembre de 2026",19:00,"lunes, 21 de diciembre de 2026",19:00
23.02,Electrónica Analógica y Digital,"miércoles, 9 de diciembre de 2026",9:00,"lunes, 21 de diciembre de 2026",9:00
23.03,Sistemas de Control,"jueves, 10 de diciembre de 2026",9:00,"jueves, 17 de diciembre de 2026",9:00
23.07,Electrónica Industrial,"viernes, 11 de diciembre de 2026",18:00,"viernes, 18 de diciembre de 2026",18:00
23.08,Control Avanzado,"martes, 15 de diciembre de 2026",16:00,"martes, 22 de diciembre de 2026",16:00
23.15,Realidad Virtual,"viernes, 4 de diciembre de 2026",16:00,"viernes, 11 de diciembre de 2026",16:00
